2023-03-02 13:01:03, scenario number: 2772, Elapsed Time: 1452.924934387207, CPU usage: 1.3, RAM usage: 87.7
2023-03-02 13:01:23, scenario number: 2772, Elapsed Time: 1473.3965373039246, CPU usage: 1.3, RAM usage: 86.2
2023-03-02 13:01:43, scenario number: 2772, Elapsed Time: 1493.0324153900146, CPU usage: 1.0, RAM usage: 86.8
2023-03-02 13:02:14, scenario number: 2773, Elapsed Time: 1523.9482309818268, CPU usage: 1.3, RAM usage: 85.0
2023-03-02 13:02:44, scenario number: 2774, Elapsed Time: 1553.9663391113281, CPU usage: 1.0, RAM usage: 85.6
2023-03-02 13:03:13, scenario number: 2775, Elapsed Time: 1582.9210860729218, CPU usage: 1.9, RAM usage: 86.4
2023-03-02 13:03:44, scenario number: 2776, Elapsed Time: 1613.9257369041443, CPU usage: 1.2, RAM usage: 87.0
2023-03-02 13:04:13, scenario number: 2777, Elapsed Time: 1642.9991977214813, CPU usage: 1.2, RAM usage: 87.7
2023-03-02 13:04:44, scenario number: 2778, Elapsed Time: 1674.6111600399017, CPU usage: 1.4, RAM usage: 88.4
2023-03-02 13:05:13, scenario number: 2779, Elapsed Time: 1702.990674495697, CPU usage: 1.4, RAM usage: 89.2
2023-03-02 13:05:39, scenario number: 2780, Elapsed Time: 1728.9661619663239, CPU usage: 1.4, RAM usage: 90.0
2023-03-02 13:05:59, scenario number: 2780, Elapsed Time: 1749.110901594162, CPU usage: 1.8, RAM usage: 90.6
2023-03-02 13:06:28, scenario number: 2781, Elapsed Time: 1777.908459186554, CPU usage: 1.0, RAM usage: 87.4
2023-03-02 13:06:58, scenario number: 2782, Elapsed Time: 1807.9385027885437, CPU usage: 1.6, RAM usage: 88.0
2023-03-02 13:07:29, scenario number: 2783, Elapsed Time: 1839.0240995883942, CPU usage: 1.4, RAM usage: 85.4
2023-03-02 13:07:59, scenario number: 2784, Elapsed Time: 1868.9923603534698, CPU usage: 2.1, RAM usage: 85.9
2023-03-02 13:08:18, scenario number: 2784, Elapsed Time: 1888.0687110424042, CPU usage: 1.9, RAM usage: 86.7
2023-03-02 13:08:48, scenario number: 2785, Elapsed Time: 1918.0049312114716, CPU usage: 1.6, RAM usage: 87.5
2023-03-02 13:09:18, scenario number: 2786, Elapsed Time: 1948.5774042606354, CPU usage: 1.8, RAM usage: 88.2
2023-03-02 13:09:49, scenario number: 2787, Elapsed Time: 1978.974510192871, CPU usage: 1.3, RAM usage: 89.0
2023-03-02 13:10:20, scenario number: 2788, Elapsed Time: 2009.9905440807343, CPU usage: 2.0, RAM usage: 89.8
2023-03-02 13:10:48, scenario number: 2789, Elapsed Time: 2037.9598433971405, CPU usage: 1.5, RAM usage: 90.5
2023-03-02 13:11:08, scenario number: 2789, Elapsed Time: 2058.064516544342, CPU usage: 1.6, RAM usage: 91.1
2023-03-02 13:11:39, scenario number: 2790, Elapsed Time: 2089.0665199756622, CPU usage: 2.0, RAM usage: 91.9
2023-03-02 13:12:11, scenario number: 2791, Elapsed Time: 2120.984726190567, CPU usage: 1.8, RAM usage: 92.5
2023-03-02 13:12:42, scenario number: 2792, Elapsed Time: 2151.955352306366, CPU usage: 1.5, RAM usage: 93.8
2023-03-02 13:13:10, scenario number: 2793, Elapsed Time: 2179.916699886322, CPU usage: 1.2, RAM usage: 94.3
2023-03-02 13:13:27, scenario number: 2793, Elapsed Time: 2197.4466547966003, CPU usage: 1.3, RAM usage: 95.1
2023-03-02 13:13:56, scenario number: 2794, Elapsed Time: 2225.979672908783, CPU usage: 1.3, RAM usage: 95.2
2023-03-02 13:14:25, scenario number: 2795, Elapsed Time: 2255.037154197693, CPU usage: 3.0, RAM usage: 95.1
2023-03-02 13:14:56, scenario number: 2796, Elapsed Time: 2286.5908930301666, CPU usage: 1.8, RAM usage: 95.4
2023-03-02 13:16:22, scenario number: 2797, Elapsed Time: 2371.9287967681885, CPU usage: 1.3, RAM usage: 92.7
2023-03-02 13:16:58, scenario number: 2798, Elapsed Time: 2407.990888118744, CPU usage: 2.8, RAM usage: 92.2
2023-03-02 13:17:28, scenario number: 2799, Elapsed Time: 2437.937950849533, CPU usage: 1.3, RAM usage: 91.4
2023-03-02 13:17:47, scenario number: 2799, Elapsed Time: 2457.1581790447235, CPU usage: 1.3, RAM usage: 92.0
2023-03-02 13:18:17, scenario number: 2800, Elapsed Time: 2486.971401453018, CPU usage: 0.9, RAM usage: 93.2
2023-03-02 13:26:57, scenario number: 2801, Elapsed Time: 21.614312648773193, CPU usage: 0.6, RAM usage: 60.8
2023-03-02 13:27:18, scenario number: 2801, Elapsed Time: 42.42598867416382, CPU usage: 0.6, RAM usage: 60.4
2023-03-02 13:27:47, scenario number: 2802, Elapsed Time: 71.66073226928711, CPU usage: 0.6, RAM usage: 60.8
2023-03-02 13:28:18, scenario number: 2803, Elapsed Time: 103.22755813598633, CPU usage: 0.8, RAM usage: 60.6
2023-03-02 13:28:48, scenario number: 2804, Elapsed Time: 132.61464405059814, CPU usage: 0.8, RAM usage: 60.7
2023-03-02 13:29:15, scenario number: 2805, Elapsed Time: 159.6073226928711, CPU usage: 0.6, RAM usage: 60.7
2023-03-02 13:29:34, scenario number: 2805, Elapsed Time: 178.59787607192993, CPU usage: 0.9, RAM usage: 60.7
2023-03-02 13:30:06, scenario number: 2806, Elapsed Time: 210.5977976322174, CPU usage: 1.0, RAM usage: 61.2
2023-03-02 13:30:36, scenario number: 2807, Elapsed Time: 240.56673955917358, CPU usage: 1.0, RAM usage: 63.4
2023-03-02 13:30:55, scenario number: 2807, Elapsed Time: 259.4489095211029, CPU usage: 1.7, RAM usage: 61.8
2023-03-02 13:31:25, scenario number: 2808, Elapsed Time: 290.17473673820496, CPU usage: 0.6, RAM usage: 61.9
2023-03-02 13:31:55, scenario number: 2809, Elapsed Time: 319.6308214664459, CPU usage: 0.7, RAM usage: 62.2
2023-03-02 13:32:14, scenario number: 2809, Elapsed Time: 339.4085795879364, CPU usage: 0.7, RAM usage: 62.4
2023-03-02 13:32:46, scenario number: 2810, Elapsed Time: 370.62752985954285, CPU usage: 0.6, RAM usage: 62.2
2023-03-02 13:33:16, scenario number: 2811, Elapsed Time: 400.58349323272705, CPU usage: 0.7, RAM usage: 62.5
2023-03-02 13:33:36, scenario number: 2811, Elapsed Time: 420.95261883735657, CPU usage: 0.5, RAM usage: 62.5
2023-03-02 13:33:55, scenario number: 2811, Elapsed Time: 439.42733669281006, CPU usage: 7.1, RAM usage: 62.4
2023-03-02 13:34:25, scenario number: 2812, Elapsed Time: 469.5350852012634, CPU usage: 0.7, RAM usage: 63.4
2023-03-02 13:34:44, scenario number: 2812, Elapsed Time: 489.1059310436249, CPU usage: 0.6, RAM usage: 63.4
2023-03-02 13:35:03, scenario number: 2812, Elapsed Time: 507.4799253940582, CPU usage: 0.4, RAM usage: 63.4
2023-03-02 13:35:36, scenario number: 2813, Elapsed Time: 540.6456894874573, CPU usage: 0.7, RAM usage: 63.4
2023-03-02 13:36:07, scenario number: 2814, Elapsed Time: 571.5474874973297, CPU usage: 0.5, RAM usage: 63.4
2023-03-02 13:36:35, scenario number: 2815, Elapsed Time: 600.1875066757202, CPU usage: 0.7, RAM usage: 63.5
2023-03-02 13:37:06, scenario number: 2816, Elapsed Time: 630.5769917964935, CPU usage: 0.6, RAM usage: 63.1
2023-03-02 13:37:36, scenario number: 2817, Elapsed Time: 660.7474343776703, CPU usage: 1.0, RAM usage: 61.4
2023-03-02 13:38:06, scenario number: 2818, Elapsed Time: 690.5280563831329, CPU usage: 0.7, RAM usage: 61.8
2023-03-02 13:38:36, scenario number: 2819, Elapsed Time: 720.6076941490173, CPU usage: 0.6, RAM usage: 62.0
2023-03-02 13:38:55, scenario number: 2819, Elapsed Time: 740.3965573310852, CPU usage: 0.6, RAM usage: 62.1
2023-03-02 13:39:16, scenario number: 2819, Elapsed Time: 760.5262289047241, CPU usage: 0.6, RAM usage: 62.1
2023-03-02 13:39:33, scenario number: 2819, Elapsed Time: 778.3854382038116, CPU usage: 0.5, RAM usage: 62.1
2023-03-02 13:40:03, scenario number: 2820, Elapsed Time: 808.1253345012665, CPU usage: 0.8, RAM usage: 62.2
2023-03-02 13:40:33, scenario number: 2821, Elapsed Time: 837.5319559574127, CPU usage: 0.7, RAM usage: 62.2
2023-03-02 13:41:03, scenario number: 2822, Elapsed Time: 868.1535928249359, CPU usage: 0.7, RAM usage: 62.2
2023-03-02 13:41:33, scenario number: 2823, Elapsed Time: 897.5770070552826, CPU usage: 1.0, RAM usage: 62.1
2023-03-02 13:41:53, scenario number: 2823, Elapsed Time: 917.4488773345947, CPU usage: 0.7, RAM usage: 62.1
2023-03-02 13:42:21, scenario number: 2824, Elapsed Time: 945.6236886978149, CPU usage: 0.9, RAM usage: 61.8
2023-03-02 13:42:52, scenario number: 2825, Elapsed Time: 976.7371864318848, CPU usage: 0.8, RAM usage: 62.0
2023-03-02 13:43:11, scenario number: 2825, Elapsed Time: 995.4577856063843, CPU usage: 0.5, RAM usage: 61.9
2023-03-02 13:43:41, scenario number: 2826, Elapsed Time: 1025.5706634521484, CPU usage: 0.7, RAM usage: 61.9
2023-03-02 13:44:01, scenario number: 2826, Elapsed Time: 1045.4519228935242, CPU usage: 0.8, RAM usage: 61.9
2023-03-02 13:44:19, scenario number: 2826, Elapsed Time: 1063.4801895618439, CPU usage: 0.7, RAM usage: 61.9
